url,page_title
https://bulletin.miamioh.edu/academic-planning/,Academic Planning
https://bulletin.miamioh.edu/admission-graduate-students/,Admission for Graduate Students
https://bulletin.miamioh.edu/admission-undergraduate-students/,Admission for Undergraduate Students
https://bulletin.miamioh.edu/admission-undergraduate-students/transfer-student/,Transfer Student Admission
https://bulletin.miamioh.edu/course-registration-other-regulations/,Course Registration and Other Regulations
https://bulletin.miamioh.edu/courses-instruction/acc/,Accountancy (ACC)
https://bulletin.miamioh.edu/courses-instruction/bus/,Business Analysis (BUS)
https://bulletin.miamioh.edu/courses-instruction/cse/,Computer Science & Software Engineering (CSE)
https://bulletin.miamioh.edu/courses-instruction/eco/,Economics (ECO)
https://bulletin.miamioh.edu/courses-instruction/esp/,Entrepreneurship (ESP)
https://bulletin.miamioh.edu/courses-instruction/fin/,Finance (FIN)
https://bulletin.miamioh.edu/courses-instruction/,Courses of Instruction
https://bulletin.miamioh.edu/courses-instruction/isa/,Information Systems & Analytics (ISA)
https://bulletin.miamioh.edu/courses-instruction/mgt/,Management (MGT)
https://bulletin.miamioh.edu/courses-instruction/mkt/,Marketing (MKT)
https://bulletin.miamioh.edu/courses-instruction/mth/,Mathematics (MTH)
https://bulletin.miamioh.edu/courses-instruction/sta/,Statistics (STA)
https://bulletin.miamioh.edu/creative-arts/arts-management-arts-entrepreneurship/,Arts Management and Arts Entrepreneurship - Bachelor of Arts in Arts Management and Arts Entrepreneurship
https://bulletin.miamioh.edu/creative-arts/arts-management-comajor/,Arts Management Co-Major
https://bulletin.miamioh.edu/creative-arts/emerging-technology-business-design/emerging-technology-business-design-ba-emerging-technology-business-design/,Emerging Technology in Business and Design - Bachelor of Arts in Emerging Technology in Business and Design
https://bulletin.miamioh.edu/creative-arts/emerging-technology-business-design/esports-management-undergraduate-certificate/,Esports Management Undergraduate Certificate
https://bulletin.miamioh.edu/creative-arts/emerging-technology-business-design/games-simulation-bs/,Games + Simulation - Bachelor of Science
https://bulletin.miamioh.edu/creative-arts/emerging-technology-business-design/,Department of Emerging Technology in Business + Design
https://bulletin.miamioh.edu/creative-arts/fashion-comajor/,Fashion Co-Major
https://bulletin.miamioh.edu/creative-arts/minors/arts-management/,Arts Management Minor
https://bulletin.miamioh.edu/creative-arts/minors/digital-innovation/,Digital Innovation Minor
https://bulletin.miamioh.edu/creative-arts/minors/digital-marketing/,Digital Marketing Minor
https://bulletin.miamioh.edu/creative-arts/minors/emerging-technology-business-design/,Emerging Technology in Business and Design Minor
https://bulletin.miamioh.edu/creative-arts/minors/fashion/,Fashion Minor
https://bulletin.miamioh.edu/degree-certificate-requirements/,Degree and Certificate Requirements
https://bulletin.miamioh.edu/farmer-business/accountancy-bsb/,Accountancy- Bachelor of Science in Business
https://bulletin.miamioh.edu/farmer-business/accountancy-minor/,Accountancy Minor
https://bulletin.miamioh.edu/farmer-business/analytics-comajor/,Analytics Co-Major
https://bulletin.miamioh.edu/farmer-business/analytics-minor/,Business Analytics Minor
